INFO:tensorflow:step: 2140, lr: 0.000827, klw: 0.1044, cost: 0.2149, recon: 0.1850, kl: 0.2862, train_time_taken: 8.3245
INFO:tensorflow:step: 2160, lr: 0.000825, klw: 0.1052, cost: 0.2404, recon: 0.2125, kl: 0.2652, train_time_taken: 8.5835
INFO:tensorflow:step: 2180, lr: 0.000824, klw: 0.1060, cost: 0.2624, recon: 0.2325, kl: 0.2825, train_time_taken: 8.4458
INFO:tensorflow:step: 2200, lr: 0.000822, klw: 0.1068, cost: 0.1770, recon: 0.1480, kl: 0.2719, train_time_taken: 8.4950
INFO:tensorflow:step: 2220, lr: 0.000821, klw: 0.1076, cost: 0.2205, recon: 0.1937, kl: 0.2494, train_time_taken: 8.4181
INFO:tensorflow:step: 2240, lr: 0.000819, klw: 0.1083, cost: 0.2754, recon: 0.2476, kl: 0.2561, train_time_taken: 8.5683
INFO:tensorflow:step: 2260, lr: 0.000818, klw: 0.1091, cost: 0.2495, recon: 0.2211, kl: 0.2601, train_time_taken: 8.3563
INFO:tensorflow:step: 2280, lr: 0.000817, klw: 0.1099, cost: 0.2161, recon: 0.1889, kl: 0.2471, train_time_taken: 8.4238
INFO:tensorflow:step: 2300, lr: 0.000815, klw: 0.1107, cost: 0.2472, recon: 0.2188, kl: 0.2572, train_time_taken: 8.4208
INFO:tensorflow:step: 2320, lr: 0.000814, klw: 0.1115, cost: 0.2217, recon: 0.1948, kl: 0.2412, train_time_taken: 8.5633
INFO:tensorflow:step: 2340, lr: 0.000812, klw: 0.1122, cost: 0.1698, recon: 0.1441, kl: 0.2294, train_time_taken: 8.9068
INFO:tensorflow:step: 2360, lr: 0.000811, klw: 0.1130, cost: 0.1732, recon: 0.1462, kl: 0.2396, train_time_taken: 8.6917
INFO:tensorflow:step: 2380, lr: 0.000809, klw: 0.1138, cost: 0.2055, recon: 0.1795, kl: 0.2288, train_time_taken: 8.4597
INFO:tensorflow:step: 2400, lr: 0.000808, klw: 0.1146, cost: 0.1678, recon: 0.1420, kl: 0.2253, train_time_taken: 8.3575
INFO:tensorflow:step: 2420, lr: 0.000807, klw: 0.1153, cost: 0.1984, recon: 0.1715, kl: 0.2336, train_time_taken: 8.5954
INFO:tensorflow:step: 2440, lr: 0.000805, klw: 0.1161, cost: 0.2081, recon: 0.1819, kl: 0.2253, train_time_taken: 8.5471
INFO:tensorflow:step: 2460, lr: 0.000804, klw: 0.1169, cost: 0.2212, recon: 0.1956, kl: 0.2187, train_time_taken: 8.5187
INFO:tensorflow:step: 2480, lr: 0.000802, klw: 0.1176, cost: 0.2064, recon: 0.1816, kl: 0.2111, train_time_taken: 8.5658
INFO:tensorflow:step: 2500, lr: 0.000801, klw: 0.1184, cost: 0.2097, recon: 0.1841, kl: 0.2164, train_time_taken: 8.5491
INFO:tensorflow:step: 2520, lr: 0.000800, klw: 0.1192, cost: 0.1749, recon: 0.1479, kl: 0.2262, train_time_taken: 8.3371
INFO:tensorflow:step: 2540, lr: 0.000798, klw: 0.1199, cost: 0.1789, recon: 0.1526, kl: 0.2188, train_time_taken: 8.3951
INFO:tensorflow:step: 2560, lr: 0.000797, klw: 0.1207, cost: 0.2313, recon: 0.2048, kl: 0.2195, train_time_taken: 8.6623
INFO:tensorflow:step: 2580, lr: 0.000795, klw: 0.1214, cost: 0.1816, recon: 0.1573, kl: 0.2000, train_time_taken: 8.5485
INFO:tensorflow:step: 2600, lr: 0.000794, klw: 0.1222, cost: 0.1868, recon: 0.1600, kl: 0.2191, train_time_taken: 8.5281
INFO:tensorflow:step: 2620, lr: 0.000793, klw: 0.1229, cost: 0.1587, recon: 0.1326, kl: 0.2127, train_time_taken: 8.2468
INFO:tensorflow:step: 2640, lr: 0.000791, klw: 0.1237, cost: 0.1669, recon: 0.1400, kl: 0.2175, train_time_taken: 8.5554
INFO:tensorflow:step: 2660, lr: 0.000790, klw: 0.1244, cost: 0.2040, recon: 0.1791, kl: 0.2000, train_time_taken: 8.2353
INFO:tensorflow:step: 2680, lr: 0.000788, klw: 0.1252, cost: 0.2149, recon: 0.1879, kl: 0.2159, train_time_taken: 8.3555
INFO:tensorflow:step: 2700, lr: 0.000787, klw: 0.1259, cost: 0.1976, recon: 0.1713, kl: 0.2086, train_time_taken: 8.5170
INFO:tensorflow:step: 2720, lr: 0.000786, klw: 0.1267, cost: 0.2324, recon: 0.2070, kl: 0.2004, train_time_taken: 8.4132
INFO:tensorflow:step: 2740, lr: 0.000784, klw: 0.1274, cost: 0.2095, recon: 0.1840, kl: 0.2000, train_time_taken: 8.3002
INFO:tensorflow:step: 2760, lr: 0.000783, klw: 0.1282, cost: 0.1843, recon: 0.1577, kl: 0.2069, train_time_taken: 8.4409
